,player,nation,position,team,formation,team_shots_per_game,team_possession,team_pass,team_aerials_won,league,age,matches,starts,minutes,goals,assists,goals_assists,penalty_goals,yellow_cards,red_cards,expected_goals,expected_assists,progressive_carries,progressive_passes,progressive_runs,goals_90min,assists_90min,goals_assists_90min
132,Simone Aresti,it ITA,Goalkeeper,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,37,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Matias Arezo,uy URU,Forward,Granada,4-3-3,9.4,43.4,70.0,18.3,es La Liga,20,14,3,369,0,0,0,0,1,0,1.2,0.1,6.0,5.0,17.0,0.0,0.0,0.0
134,Iñigo Arguibide,es ESP,Defender,Osasuna,4-4-2,9.8,44.6,70.2,26.8,es La Liga,18,1,0,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Yoël Armougom,fr FRA,Defender,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,25,5,2,234,0,0,0,0,1,0,0.0,0.3,6.0,12.0,25.0,0.0,0.0,0.0
136,José Arnaiz,es ESP,Forward,Osasuna,4-4-2,9.8,44.6,70.2,26.8,es La Liga,28,26,9,929,2,1,3,0,3,0,1.7,1.8,23.0,11.0,85.0,0.19,0.1,0.29
137,Hákon Arnar Haraldsson,is ISL,Forward,Lille,4-4-2,12.8,52.6,83.5,15.8,fr Ligue 1,20,26,15,1284,2,0,2,0,5,0,0.8,1.5,25.0,48.0,90.0,0.14,0.0,0.14
138,Marko Arnautović,at AUT,Forward,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,34,27,5,801,5,3,8,0,0,0,5.0,2.6,12.0,20.0,77.0,0.56,0.34,0.9
139,Maximilian Arnold,de GER,Midfielder,Wolfsburg,4-2-3-1,14.1,51.0,78.0,16.9,de Bundesliga,29,30,27,2506,2,1,3,0,9,0,1.0,3.9,20.0,143.0,19.0,0.07,0.04,0.11
140,Mohamed El Arouch,fr FRA,Forward,Lyon,4-3-3,16.1,53.6,84.7,14.3,fr Ligue 1,19,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Sergio Arribas,es ESP,Midfielder,Almería,4-4-2,8.1,44.1,77.1,13.8,es La Liga,21,34,22,2047,9,4,13,0,1,0,8.6,3.7,56.0,81.0,94.0,0.4,0.18,0.57
142,Kepa Arrizabalaga,es ESP,Goalkeeper,Real Madrid,4-3-3,14.4,57.7,87.7,11.8,es La Liga,28,14,13,1198,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Arthur,br BRA,Defender,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,20,4,2,184,0,2,2,0,0,0,0.1,0.3,8.0,7.0,28.0,0.0,0.98,0.98
144,Takuma Asano,jp JPN,Forward,Bochum,4-4-2,7.0,41.8,73.4,20.4,de Bundesliga,28,29,26,1986,6,1,7,0,2,0,7.9,1.3,56.0,32.0,167.0,0.27,0.05,0.32
145,Marco Asensio,es ESP,Midfielder,Paris Saint-Germain,4-3-3,15.0,60.1,89.5,9.5,fr Ligue 1,27,19,13,1113,4,5,9,0,0,0,3.2,5.8,36.0,71.0,92.0,0.32,0.4,0.73
146,Kristjan Asllani,al ALB,Midfielder,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,21,23,6,787,1,2,3,0,1,0,0.6,1.1,5.0,32.0,8.0,0.11,0.23,0.34
147,Joel Asoro,se SWE,Forward,Metz,3-4-3,11.5,46.9,79.8,16.1,fr Ligue 1,24,20,10,848,2,1,3,0,2,0,0.6,0.3,14.0,16.0,43.0,0.21,0.11,0.32
148,Jonathan Asp Jensen,dk DEN,Forward,Bayern Munich,4-2-3-1,17.1,58.1,85.5,12.9,de Bundesliga,17,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Iago Aspas,es ESP,Forward,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,35,35,31,2707,9,10,19,3,6,1,11.5,10.1,84.0,161.0,202.0,0.3,0.33,0.63
151,Lorenz Assignon,tg TOG,Defender,Rennes,4-2-3-1,13.5,56.8,85.6,16.9,fr Ligue 1,23,14,12,1011,1,1,2,0,4,0,0.4,1.8,28.0,51.0,67.0,0.09,0.09,0.18
152,Youcef Atal,dz ALG,Defender,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,27,6,5,359,1,0,1,0,2,0,0.1,0.8,9.0,15.0,5.0,0.25,0.0,0.25
153,Valentin Atangana Edoa,fr FRA,Midfielder,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,17,15,7,555,0,0,0,0,0,0,0.5,0.1,10.0,21.0,17.0,0.0,0.0,0.0
154,Arthur Atta,fr FRA,Midfielder,Metz,3-4-3,11.5,46.9,79.8,16.1,fr Ligue 1,20,21,10,924,1,2,3,0,0,0,0.6,1.3,16.0,48.0,22.0,0.1,0.19,0.29
155,Noah Atubolu,de GER,Goalkeeper,Freiburg,3-4-3,11.4,47.5,78.1,17.5,de Bundesliga,21,34,34,3060,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
156,Pierre-Emerick Aubameyang,ga GAB,Forward,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,34,34,30,2622,17,8,25,4,4,0,20.5,5.6,68.0,58.0,235.0,0.58,0.27,0.86
157,Emil Audero,it ITA,Goalkeeper,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,26,4,4,337,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Tommaso Augello,it ITA,Defender,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,28,32,28,2418,1,1,2,0,5,0,0.5,2.0,62.0,96.0,99.0,0.04,0.04,0.07
159,Carlos Augusto,br BRA,Defender,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,24,37,14,1725,0,3,3,0,1,0,1.0,2.8,42.0,54.0,88.0,0.0,0.16,0.16
160,Yann Aurel Bisseck,de GER,Defender,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,22,16,9,904,2,0,2,0,0,0,0.9,0.5,24.0,30.0,20.0,0.2,0.0,0.2
161,Serge Aurier,ci CIV,Defender,Nott'ham Forest,4-2-3-1,11.1,41.6,78.3,15.2,eng Premier League,30,12,10,833,0,2,2,0,2,0,0.2,0.5,10.0,47.0,29.0,0.0,0.22,0.22
163,Ezequiel Ávila,ar ARG,Forward,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,29,6,4,298,1,0,1,0,4,1,0.7,0.1,7.0,6.0,31.0,0.3,0.0,0.3
164,Taiwo Awoniyi,ng NGA,Forward,Nott'ham Forest,4-2-3-1,11.1,41.6,78.3,15.2,eng Premier League,25,20,12,1042,6,3,9,0,2,0,4.7,1.7,8.0,14.0,45.0,0.52,0.26,0.78
165,André Ayew,gh GHA,Forward,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,33,19,12,1104,5,0,5,0,2,1,3.1,0.8,14.0,23.0,65.0,0.41,0.0,0.41
166,Jordan Ayew,gh GHA,Forward,Crystal Palace,4-3-3,9.2,42.9,76.1,18.3,eng Premier League,31,35,30,2543,4,7,11,0,9,1,3.9,4.2,74.0,63.0,173.0,0.14,0.25,0.39
167,Neil El Aynaoui,fr FRA,Midfielder,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,22,25,17,1566,1,2,3,0,1,0,2.4,0.8,25.0,59.0,44.0,0.06,0.11,0.17
168,Sardar Azmoun,ir IRN,Forward,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,28,23,3,585,3,0,3,0,4,0,2.9,1.4,5.0,14.0,35.0,0.46,0.0,0.46
169,César Azpilicueta,es ESP,Defender,Atletico Madrid,5-3-2,12.1,51.8,83.1,14.4,es La Liga,33,25,14,1423,0,2,2,0,4,0,0.6,2.4,39.0,77.0,39.0,0.0,0.13,0.13
170,Paulo Azzi,br BRA,Defender,Cagliari,3-5-2,11.4,45.8,79.8,17.2,it Serie A,29,25,9,950,0,0,0,0,1,0,1.2,0.7,47.0,35.0,42.0,0.0,0.0,0.0
171,Oussama El Azzouzi,ma MAR,Midfielder,Bologna,4-2-3-1,13.1,50.7,81.5,15.1,it Serie A,22,18,5,547,2,2,4,0,4,0,0.5,0.6,4.0,19.0,8.0,0.33,0.33,0.66
172,Abdellah Baallal,ma MAR,Midfielder,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,18,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Iddrisu Baba,gh GHA,Midfielder,Almería,4-4-2,8.1,44.1,77.1,13.8,es La Liga,27,25,14,1430,0,0,0,0,5,0,0.7,0.6,1.0,60.0,5.0,0.0,0.0,0.0
174,Srđan Babić,rs SRB,Defender,Almería,4-4-2,8.1,44.1,77.1,13.8,es La Liga,27,1,1,90,0,0,0,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
175,Shavy Babicka,ga GAB,Forward,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,23,12,4,373,1,0,1,0,0,0,0.6,0.1,17.0,8.0,64.0,0.24,0.0,0.24
176,Loïc Bade,fr FRA,Defender,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,23,28,27,2277,0,1,1,0,5,1,0.9,0.5,15.0,76.0,3.0,0.0,0.04,0.04
177,Milan Badelj,hr CRO,Midfielder,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,34,33,32,2535,1,3,4,0,6,0,1.4,1.1,18.0,151.0,36.0,0.04,0.11,0.14
178,Matthias Bader,de GER,Defender,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,26,24,21,1802,1,2,3,0,1,0,0.7,2.3,38.0,67.0,66.0,0.05,0.1,0.15
179,Benoît Badiashile,fr FRA,Defender,Chelsea,3-4-3,14.6,58.6,87.0,15.2,eng Premier League,22,18,15,1338,0,1,1,0,3,0,0.3,1.5,3.0,46.0,3.0,0.0,0.07,0.07
180,Alex Baena,es ESP,Midfielder,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,22,34,33,2579,2,14,16,0,11,1,7.9,9.2,84.0,165.0,181.0,0.07,0.49,0.56
181,Jaime Báez,uy URU,Forward,Frosinone,3-5-2,11.1,40.0,75.7,14.1,it Serie A,28,11,6,500,1,0,1,0,1,0,0.5,0.5,12.0,29.0,39.0,0.18,0.0,0.18
182,Nicola Bagnolini,it ITA,Goalkeeper,Bologna,4-2-3-1,13.1,50.7,81.5,15.1,it Serie A,19,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Leon Bailey,jm JAM,Midfielder,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,25,35,22,2068,10,9,19,0,5,0,6.3,9.2,102.0,82.0,226.0,0.44,0.39,0.83
184,Eric Bailly,ci CIV,Defender,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,29,10,9,839,0,0,0,0,4,0,0.2,0.0,3.0,18.0,1.0,0.0,0.0,0.0
185,Stefan Bajcetic,es ESP,Midfielder,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,18,1,0,26,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
186,Nedim Bajrami,al ALB,Midfielder,Sassuolo,4-2-3-1,13.9,58.2,87.8,10.9,it Serie A,24,28,15,1310,2,2,4,0,0,0,2.5,2.2,51.0,49.0,70.0,0.14,0.14,0.27
187,Cédric Bakambu,cd COD,Forward,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,32,4,2,194,0,0,0,0,1,0,0.4,0.3,5.0,4.0,12.0,0.0,0.0,0.0
188,Tiemoué Bakayoko,fr FRA,Midfielder,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,28,20,15,1314,2,1,3,0,5,0,1.7,0.5,14.0,54.0,15.0,0.14,0.07,0.21
189,Mitchel Bakker,nl NED,Defender,Atalanta,3-4-2-1,16.3,53.5,83.5,16.8,it Serie A,23,14,3,382,1,0,1,0,1,0,0.2,0.1,12.0,10.0,20.0,0.24,0.0,0.24
190,Ridle Baku,de GER,Defender,Wolfsburg,4-2-3-1,14.1,51.0,78.0,16.9,de Bundesliga,25,33,22,2013,1,0,1,0,4,0,1.8,3.0,37.0,85.0,130.0,0.04,0.0,0.04
191,Dilane Bakwa,fr FRA,Forward,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,20,31,25,2177,3,6,9,0,4,1,3.2,6.2,94.0,92.0,204.0,0.12,0.25,0.37
193,Tommaso Baldanzi,it ITA,Forward,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,20,13,6,518,0,0,0,0,2,0,0.9,0.7,18.0,14.0,54.0,0.0,0.0,0.0
194,Alejandro Balde,es ESP,Defender,Barcelona,4-3-3,15.3,62.4,89.7,10.6,es La Liga,19,18,15,1378,0,1,1,0,1,0,0.1,1.2,73.0,41.0,141.0,0.0,0.07,0.07
195,Aliou Baldé,gn GUI,Forward,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,20,7,0,69,0,0,0,0,0,0,0.1,0.0,5.0,2.0,8.0,0.0,0.0,0.0
196,George Baldock,gr GRE,Defender,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,30,13,11,969,0,1,1,0,4,0,0.0,0.8,9.0,31.0,24.0,0.0,0.09,0.09
198,Carlos Baleba,cm CMR,Midfielder,Lille,4-4-2,12.8,52.6,83.5,15.8,fr Ligue 1,19,2,1,61,0,0,0,0,0,0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
199,Leonardo Balerdi,ar ARG,Defender,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,24,27,26,2271,2,0,2,0,6,1,0.9,0.2,19.0,122.0,6.0,0.08,0.0,0.08
200,Iván Balliu,al ALB,Defender,Rayo Vallecano,4-4-2,9.0,48.1,77.9,12.3,es La Liga,31,33,32,2873,0,1,1,0,4,0,0.7,2.6,50.0,98.0,100.0,0.0,0.03,0.03
201,Fodé Ballo-Touré,sn SEN,Defender,Fulham,4-2-3-1,11.6,50.0,81.2,17.2,eng Premier League,26,6,0,71,0,0,0,0,1,0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0
202,Folarin Balogun,us USA,Forward,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,22,29,19,1692,7,5,12,0,1,0,11.0,3.3,35.0,30.0,199.0,0.37,0.27,0.64
203,Jonathan Bamba,ci CIV,Midfielder,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,27,27,24,1981,3,2,5,0,0,0,3.0,4.7,107.0,80.0,169.0,0.14,0.09,0.23
204,Mohamed Bamba,ci CIV,Forward,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,21,16,14,1138,8,3,11,1,3,0,6.4,2.1,25.0,16.0,69.0,0.63,0.24,0.87
205,Samuel Bamba,de GER,Forward,Borussia Dortmund,4-2-3-1,14.6,57.5,85.5,12.8,de Bundesliga,19,2,0,47,0,0,0,0,0,0,0.3,0.1,5.0,2.0,7.0,0.0,0.0,0.0
206,Lameck Banda,zm ZAM,Forward,Lecce,4-3-3,9.7,43.7,79.9,16.8,it Serie A,22,21,17,1350,2,4,6,0,5,1,3.6,1.9,70.0,22.0,136.0,0.13,0.27,0.4
207,Daniel Bandeira,pt POR,Midfielder,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,23,14,3,446,0,0,0,0,2,0,0.1,0.2,9.0,34.0,8.0,0.0,0.0,0.0
208,Mamady Bangré,bf BFA,Forward,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,22,8,0,101,0,1,1,0,2,0,0.1,0.7,10.0,9.0,12.0,0.0,0.89,0.89
209,Mattia Bani,it ITA,Defender,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,29,27,27,2306,2,0,2,0,9,0,1.2,0.1,5.0,37.0,4.0,0.08,0.0,0.08
210,Léo Baptistão,br BRA,Forward,Almería,4-4-2,8.1,44.1,77.1,13.8,es La Liga,30,32,22,1837,6,0,6,0,6,1,5.3,1.8,26.0,45.0,88.0,0.29,0.0,0.29
211,Shandon Baptiste,gd GRN,Midfielder,Brentford,4-3-3,7.1,47.3,81.3,16.6,eng Premier League,25,10,2,229,1,1,2,0,1,0,0.9,0.2,3.0,5.0,1.0,0.39,0.39,0.79
212,Antonín Barák,cz CZE,Midfielder,Fiorentina,4-3-3,9.8,46.8,81.0,14.2,it Serie A,28,21,8,808,2,3,5,0,2,0,1.5,2.2,17.0,33.0,64.0,0.22,0.33,0.56
213,Valentín Barco,ar ARG,Defender,Brighton,3-4-3,12.8,50.7,81.3,14.2,eng Premier League,19,6,3,307,0,0,0,0,1,0,0.2,0.2,8.0,14.0,20.0,0.0,0.0,0.0
215,Bradley Barcola,fr FRA,Forward,Paris Saint-Germain,4-3-3,15.0,60.1,89.5,9.5,fr Ligue 1,20,25,18,1370,4,7,11,0,3,1,4.5,5.2,93.0,56.0,216.0,0.26,0.46,0.72
216,Melvin Bard,fr FRA,Defender,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,22,32,31,2654,1,2,3,0,7,1,0.5,2.8,60.0,111.0,99.0,0.03,0.07,0.1
217,Nicolò Barella,it ITA,Midfielder,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,26,37,34,2846,2,3,5,0,7,0,5.1,3.4,68.0,278.0,144.0,0.06,0.09,0.16
218,Kike Barja,es ESP,Forward,Osasuna,4-4-2,9.8,44.6,70.2,26.8,es La Liga,26,16,3,303,0,0,0,0,3,0,0.2,0.5,17.0,8.0,41.0,0.0,0.0,0.0
219,Ross Barkley,eng ENG,Midfielder,Luton Town,4-2-3-1,11.4,45.6,78.1,15.6,eng Premier League,29,32,30,2618,5,4,9,0,6,0,4.1,3.7,48.0,163.0,39.0,0.17,0.14,0.31
220,Aymen Barkok,ma MAR,Midfielder,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,25,13,1,321,1,0,1,0,2,0,1.7,0.3,14.0,16.0,33.0,0.28,0.0,0.28
221,Harvey Barnes,eng ENG,Forward,Newcastle United,4-3-3,10.4,41.6,76.0,17.1,eng Premier League,25,21,7,802,5,3,8,0,2,0,3.6,3.2,45.0,34.0,79.0,0.56,0.34,0.9
222,Leandro Barreiro Martins,lu LUX,Midfielder,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,23,31,29,2606,4,1,5,0,8,0,4.5,1.1,22.0,93.0,46.0,0.14,0.03,0.17
223,Enzo Barrenechea,ar ARG,Midfielder,Frosinone,3-5-2,11.1,40.0,75.7,14.1,it Serie A,22,36,32,2811,0,1,1,0,10,0,0.6,1.7,10.0,155.0,24.0,0.0,0.03,0.03
224,Ander Barrenetxea,es ESP,Forward,Real Sociedad,4-3-3,11.3,53.7,80.8,17.9,es La Liga,21,29,20,1427,4,1,5,0,1,0,3.5,1.3,56.0,39.0,163.0,0.25,0.06,0.32
225,Pablo Barrios,es ESP,Midfielder,Atletico Madrid,5-3-2,12.1,51.8,83.1,14.4,es La Liga,20,24,17,1555,0,1,1,0,5,0,0.9,1.9,37.0,98.0,56.0,0.0,0.06,0.06
226,Davide Bartesaghi,it ITA,Defender,AC Milan,4-2-3-1,14.7,51.4,84.0,15.2,it Serie A,17,6,0,79,0,0,0,0,0,0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0
227,Marc Bartra,es ESP,Defender,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,32,3,3,225,0,0,0,0,1,0,0.2,0.0,2.0,5.0,0.0,0.0,0.0,0.0
228,Federico Baschirotto,it ITA,Defender,Lecce,4-3-3,9.7,43.7,79.9,16.8,it Serie A,26,37,37,3294,0,1,1,0,3,1,1.7,0.7,28.0,96.0,3.0,0.0,0.03,0.03
229,Steven Baseya,fr FRA,Defender,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,18,2,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Chris Basham,eng ENG,Defender,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,35,8,3,321,0,0,0,0,1,0,0.1,0.3,1.0,7.0,6.0,0.0,0.0,0.0
231,Toma Bašić,hr CRO,Midfielder,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,26,15,14,1162,0,0,0,0,5,0,0.6,0.5,11.0,53.0,16.0,0.0,0.0,0.0
232,Calvin Bassey,ng NGA,Defender,Fulham,4-2-3-1,11.6,50.0,81.2,17.2,eng Premier League,23,29,25,2303,1,0,1,0,6,1,0.3,0.0,15.0,62.0,4.0,0.04,0.0,0.04
233,Alessandro Bastoni,it ITA,Defender,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,24,28,28,2268,1,3,4,0,5,0,1.2,3.4,63.0,142.0,77.0,0.04,0.12,0.16
234,Simone Bastoni,it ITA,Midfielder,Empoli,3-5-2,9.1,47.1,75.7,14.1,it Serie A,26,16,9,745,1,0,1,0,3,0,0.4,0.5,12.0,31.0,26.0,0.12,0.0,0.12
235,Augusto Batalla,ar ARG,Goalkeeper,Granada,4-3-3,9.4,43.4,70.0,18.3,es La Liga,27,17,17,1530,0,0,0,0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
236,Daniel Batz,de GER,Goalkeeper,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,32,4,4,360,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Maximilian Bauer,de GER,Defender,Augsburg,4-4-2,9.9,44.0,73.6,16.8,de Bundesliga,23,14,9,810,1,0,1,0,3,0,1.4,0.0,2.0,25.0,1.0,0.11,0.0,0.11
238,Elias Baum,de GER,Defender,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,17,4,0,28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
239,Oliver Baumann,de GER,Goalkeeper,Hoffenheim,3-5-2,12.6,50.8,80.7,15.7,de Bundesliga,33,34,34,3060,0,1,1,0,1,0,0.0,0.2,0.0,1.0,0.0,0.0,0.03,0.03
240,Christoph Baumgartner,at AUT,Midfielder,RB Leipzig,3-4-3,16.0,57.3,83.2,18.6,de Bundesliga,23,32,11,1158,5,1,6,0,3,0,3.7,1.6,36.0,47.0,86.0,0.39,0.08,0.47
241,Bebé,cv CPV,Midfielder,Rayo Vallecano,4-4-2,9.0,48.1,77.9,12.3,es La Liga,33,19,0,212,2,0,2,1,1,0,1.4,0.2,17.0,6.0,24.0,0.85,0.0,0.85
242,Ihlas Bebou,tg TOG,Forward,Hoffenheim,3-5-2,12.6,50.8,80.7,15.7,de Bundesliga,29,32,16,1636,7,5,12,0,3,0,4.9,2.6,42.0,38.0,145.0,0.39,0.28,0.66
243,Mohamed Bechikh,fr FRA,Forward,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,18,2,0,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
244,Adrian Beck,de GER,Midfielder,Heidenheim,4-4-2,6.0,42.5,76.3,17.0,de Bundesliga,26,23,11,974,1,1,2,0,1,0,1.7,0.8,17.0,29.0,43.0,0.09,0.09,0.18
245,Owen Beck,wls WAL,Defender,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,20,1,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
247,Sheraldo Becker,sr SUR,Forward,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,28,11,7,645,0,1,1,0,0,0,0.8,1.8,32.0,20.0,73.0,0.0,0.14,0.14
248,Chris Bedia,ci CIV,Forward,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,27,7,0,145,1,0,1,0,0,0,0.2,0.2,1.0,1.0,6.0,0.62,0.0,0.62
250,Donny van de Beek,nl NED,Midfielder,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,26,8,4,357,0,0,0,0,1,0,0.1,0.4,2.0,10.0,12.0,0.0,0.0,0.0
251,Yanis Begraoui,ma MAR,Forward,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,22,14,3,300,0,0,0,0,0,0,0.4,0.1,9.0,8.0,30.0,0.0,0.0,0.0
253,Kevin Behrens,de GER,Forward,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,32,18,14,1262,4,0,4,0,3,0,6.0,0.9,11.0,45.0,93.0,0.29,0.0,0.29
254,Maximilian Beier,de GER,Forward,Hoffenheim,3-5-2,12.6,50.8,80.7,15.7,de Bundesliga,20,33,29,2420,16,1,17,0,0,0,11.4,2.4,61.0,30.0,224.0,0.6,0.04,0.63
255,Jérémie Bela,ao ANG,Midfielder,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,30,12,1,203,0,0,0,0,0,0,0.2,0.1,14.0,10.0,33.0,0.0,0.0,0.0
257,Reda Belahyane,fr FRA,Midfielder,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,19,1,0,27,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
258,Amari'i Bell,jm JAM,Defender,Luton Town,4-2-3-1,11.4,45.6,78.1,15.6,eng Premier League,29,21,21,1720,0,0,0,0,0,0,0.3,0.5,32.0,76.0,10.0,0.0,0.0,0.0
259,Stefan Bell,de GER,Defender,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,31,10,8,666,0,0,0,0,3,0,0.2,0.1,0.0,23.0,2.0,0.0,0.0,0.0
260,Alaa Bellaarouch,ma MAR,Goalkeeper,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,21,15,15,1350,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Raoul Bellanova,it ITA,Defender,Torino,3-4-2-1,12.2,48.0,80.5,16.1,it Serie A,23,37,36,3046,1,7,8,0,5,0,2.0,5.0,141.0,98.0,202.0,0.03,0.21,0.24
263,Jean-Ricner Bellegarde,fr FRA,Midfielder,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,25,3,3,269,2,2,4,0,2,0,0.6,1.5,9.0,11.0,10.0,0.67,0.67,1.34
264,Héctor Bellerín,es ESP,Defender,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,28,23,20,1711,0,1,1,0,0,1,0.2,1.6,32.0,81.0,80.0,0.0,0.05,0.05
265,Jude Bellingham,eng ENG,Midfielder,Real Madrid,4-3-3,14.4,57.7,87.7,11.8,es La Liga,20,28,27,2315,19,6,25,1,5,1,11.1,5.3,85.0,196.0,177.0,0.74,0.23,0.97
266,Jeanuël Belocian,fr FRA,Defender,Rennes,4-2-3-1,13.5,56.8,85.6,16.9,fr Ligue 1,18,23,16,1448,0,1,1,0,0,0,0.5,0.4,16.0,60.0,37.0,0.0,0.06,0.06
